andar,anunciante,anuncio,area,atualizacao,bairro,banheiro,caracteristica,cep,codigo,condominio,data,descricao,endereco,imagem,imagemlista,latitude,longitude,municipio,preco,quarto,siteorigem,suite,telefone,tipologia,titulo,uf,url,urlmapa,vaga
,Acão Imobiliaria,,,,Tarumã,,,,2462768382,,2020-03-26," VENDO LOTE RESIDENCIAL EM CONDOMÍNIO FECHADO DE EXCELENTE PADRÃO METRAGEM MÍNIMA DE 1500M2 VALOR DO M2 R$ 620,00 CONTATO: EDMUNDO PINTO ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/3215d7d488d2076258476d3609ebcd86.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e872f8362735c90b7f092d57cb117a6d.jpg,-3.027446,-60.066226,Manaus,800000,1,Viva Real,,7/2/9/5/3/4/1,Venda ,LOTE RESIDENCIAL EM CONDOMÍNIO,AM,http://www.vivareal.com.br/imovel/lote-terreno-1-quartos-taruma-bairros-manaus-venda-RS800000-id-2462768382/,"https://www.google.com/maps/search/?api=1&query=-3.027446,-60.066226",
,Francisca Nascimento Galvão,,456,,Ponta Negra,,,,94067521,,2020-03-26," Belíssimo Lote em Alphaville 2 bairro de Ponta Negra Vendo Belíssimo lote no condomínio Alphaville 2, Excelente para construir sua belíssima casa de alto padrão, em frente a reserva florestal. 2 lotes lado a lado 200mil cada um . Francisca Galvão corretora de imoveis ","Avenida José Augusto Loureiro, 2",,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/c0bb0ea36e27f656bbc4e6422c196ed9.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/d9047be235436bf3cadea4a340c32b01.jpg,-3.053846,-60.092182,Manaus,200000,,Viva Real,,7/2/9/3/8/4/1,Venda ,Alphaville 2 em ponta negra disponível pra venda,AM,http://www.vivareal.com.br/imovel/lote-terreno-ponta-negra-bairros-manaus-456m2-venda-RS200000-id-94067521/,"https://www.google.com/maps/search/?api=1&query=-3.053846,-60.092182",
,Acão Imobiliaria,,905,,Ponta Negra,,,,2462767149,,2020-03-26," Vendo Terreno Condomínio Marina Rio Belo – Margem do Rio Negro na 2ª etapa Metragem: 905m² Plano e limpo Valor de R$: 210 mil Aceita Carro e Apartamento como Parte do Negócio. Aceita Financiamento Bancário Todo Documentado e Legalizado Vídeo: https://www.youtube.com/watch?v=memVffCJvqk Endereço: Ponta Negra, Manaus - AM, 69037-155 Mais Informações: 9 2 - 9 8 1 0 1 - 3 5 5 3 ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/64bad4588fd109abdf4c9cc7e01d4096.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/6054bf64b2d3d6a432335e7600347f20.jpg,-3.039216,-60.094749,Manaus,210000,,Viva Real,,7/2/9/5/3/4/1,Venda ,Vendo Terreno Condomínio Marina Rio Belo – Margem do Rio Negro,AM,http://www.vivareal.com.br/imovel/lote-terreno-ponta-negra-bairros-manaus-905m2-venda-RS210000-id-2462767149/,"https://www.google.com/maps/search/?api=1&query=-3.039216,-60.094749",
,GAVEA ADMINISTRADORA DE IMOVEIS - MANAUS,,600,,Ponta Negra,,,,2479231140,,2020-03-26," Terreno 20 x 30 , 600 m2 murado em blocos , terreno plano na segunda rua do condomínio, nascente do tarumã , caída de terreno pra frente , n alaga , todo documentado , sem dívidas.Área total: 600,00m² agende sua visita com nosso assessor 26/03 ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/8d08c86a4c78e036bd9a09f96c373d95.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/1cbe739bc0fe0245078a6856fde38eb1.jpg,-3.070468,-60.092275,Manaus,400000,,Viva Real,,2/5/9/0/4,Venda ,MANAUS - Terreno Padrão - PONTA NEGRA,AM,http://www.vivareal.com.br/imovel/lote-terreno-ponta-negra-bairros-manaus-600m2-venda-RS400000-id-2479231140/,"https://www.google.com/maps/search/?api=1&query=-3.070468,-60.092275",
,Acão Imobiliaria,,746,,Ponta Negra,,,,2443301280,,2020-03-26," Vendo Lote de 746 m², próximo da área de lazer. Condomínio Marina Rio Belo Valor R$ 330 mil Aberto a proposta Aceita Financiamento Bancário Agende sua Visita! Informações: Ana Nilce Mendes: 9 2 9 8 4 4 8 - 4 8 0 2 CRECI 5317 ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/9b2977398243a3cc5b34c20c0837cd1c.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e6c9b7640837cbadbef21d8609275da2.jpg,-3.037554,-60.08132,Manaus,330000,,Viva Real,,7/2/9/5/3/4/1,Venda ,Vendo lote no Condomínio Residencial Marina Rio Belo,AM,http://www.vivareal.com.br/imovel/lote-terreno-ponta-negra-bairros-manaus-746m2-venda-RS330000-id-2443301280/,"https://www.google.com/maps/search/?api=1&query=-3.037554,-60.08132",
,Wendel Alves de Andrade,,200,,Planalto,8,,,2468811392,,2020-03-26," A casa no bairro Planalto com 200 metros quadrados com 4 quartos e 3 banheiros, podendo ser residencial ou comercial, ao lado da avenida desembargador João Machado, facil localização, ótimo para consultório, escritório jurídico, contabilidade em fim. ","Rua Lisboa, 100",,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/0983dad1c0d62781e69cae6e4248a576.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/a1ee9e14babe0ac2154c547534790509.jpg,-3.070288,-60.050862,Manaus,700000,1,Viva Real,,7/2/5/9/3/8/4/1,Casa para venda tem 200 metros quadrados,Casa para venda tem 200 metros quadrados com 4 quartos em Planalto - Manaus - AM,AM,http://www.vivareal.com.br/imovel/lote-terreno-1-quartos-planalto-bairros-manaus-com-garagem-200m2-venda-RS700000-id-2468811392/,"https://www.google.com/maps/search/?api=1&query=-3.070288,-60.050862",
,Acão Imobiliaria,,250,,Ponta Negra,,,,2443299096,,2020-03-26," Vendo Lote na Ponta Negra – Mosaico Vendo Lote na Ponta Negra – Mosaico A partir de 250m² Viva a experiência de morar na melhor localização de Manaus! Tudo o que você precisa para viver bem com sua Família. A partir de R$ 135mil (valor no mês de Março/2019) Obras Aceleradas! Entrega: Pavimentação: Março 2019   Área de Lazer DEZ/2019 Habite-se em andamento, portanto logo poderá ser feito Financiamento Bancário. Agende uma visita sem compromisso. Endereço: AV. Perimetral Thales Loureiros, s/n, Ponta Negra, Manaus – AM - Mais Informações: Kátia Araújo – Creci: 4331 – ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/48d215d990233e64a3d4818018daf6c9.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/d6214ee591d663eb83bfc9a661bd7577.jpg,-3.051423,-60.078308,Manaus,145900,1,Viva Real,,7/2/9/5/3/4/1,Venda ,Vendo Lote na Ponta Negra – Mosaico,AM,http://www.vivareal.com.br/imovel/lote-terreno-1-quartos-ponta-negra-bairros-manaus-250m2-venda-RS145900-id-2443299096/,"https://www.google.com/maps/search/?api=1&query=-3.051423,-60.078308",
,CAMPÊLO IMÓVEIS,,20000,,Puraquequara,,,,1041759650,,2020-03-26," Terreno no Puraquequara - 20.000,00 m² - Disponível para VENDA Área bem localizada, com 20.000m² de fácil acesso, excelente para empresas de médio e grande porte. Imóvel documentado. Veja o vídeo do terreno - https://www.youtube.com/watch?v=z7OiSo3DL6I Analisamos propostas, entre em contato! Renato Campelo ","Rua Puraquequara, 5839",,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/2552bf4eb495ffdf2ba8abb48867e4fd.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/341da80103f25cf648f6a95f92be96ab.jpg,-3.061539,-59.877377,Manaus,1200000,,Viva Real,,7/2/5/9/8/1,Venda ,"Terreno no Puraquequara - 20.000,00 m² - Distrito Industrial",AM,http://www.vivareal.com.br/imovel/lote-terreno-puraquequara-bairros-manaus-20000m2-venda-RS1200000-id-1041759650/,"https://www.google.com/maps/search/?api=1&query=-3.061539,-59.877377",
,Juarez de Souza Cruz Junior,,33408,,Flores,,,,2442518780,,2020-03-26, Lindo terreno para area comercial e residencial. Próximo de tudo e de vários condomínios e comercio variado.  ,Rua Marquês de Quixeramobim,,,-3.060527,-59.997266,Manaus,10000000,,Viva Real,,7/2/9/3/1,Venda ,Terreno 33.408 m2 Pq das Laranjeiras,AM,http://www.vivareal.com.br/imovel/lote-terreno-flores-bairros-manaus-33408m2-venda-RS10000000-id-2442518780/,"https://www.google.com/maps/search/?api=1&query=-3.060527,-59.997266",
,On Brokers Soluções Imobiliárias,,372,,Ponta Negra,,,,2455952164,,2020-03-26," Lote E 4- 11 com 372, 94 metros quadrados. Aproveite e invista em um ótimo lugar para morar. ","Avenida José Augusto Loureiro, 04",,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/87d61c25270b6557faa6de338892f029.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/6be9e9e8bd42b7fb34240879b37c19a1.jpg,-3.053845,-60.092181,Manaus,130000,,Viva Real,,2/9/3/8/4/1,Venda ,Alphaville 4 em Ponta Negra,AM,http://www.vivareal.com.br/imovel/lote-terreno-ponta-negra-bairros-manaus-372m2-venda-RS130000-id-2455952164/,"https://www.google.com/maps/search/?api=1&query=-3.053845,-60.092181",
,Acão Imobiliaria,,15000,,Distrito Industrial I,,,,2442390582,,2020-03-26," Terreno na BR 174 - DISTRITO 3, disponível para venda ou locação!! 15mil m² com galpão inacabado 36 x 46 Distrito 3 , serve como futura Indústria, Transportadora e Distribuidora. Documentação completa!! Apto para financiamento!! Documentação: Escritura e Registro de Imóveis Aceita-se permuta como parte de pagamento ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/30112e01abdc5734d2e4fd6ed6007cf7.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/2940355ca3a3d7dd754751ce4dbff0b5.jpg,-3.131064,-59.94529,Manaus,1800000,1,Viva Real,,7/2/9/5/3/4/1,Venda ,"Terreno na BR 174 - DISTRITO 3, disponível para venda ou locação!!",AM,http://www.vivareal.com.br/imovel/lote-terreno-1-quartos-distrito-industrial-i-bairros-manaus-15000m2-venda-RS1800000-id-2442390582/,"https://www.google.com/maps/search/?api=1&query=-3.131064,-59.94529",
,Arlington Deyvi Souza Alves,,1600,,Flores,,,,2461151280,,2020-03-26," Vendo terreno na Avenida das Torres com 80 metros de frente por 20 metros de fundo. Terreno vai de uma esquina a outra, todo documentado, excelente para clínicas, postos de gasolina, empresas em geral. otimo fluxo de pessoas e carro, muito bom para estacionar Agende sua visita Maiores informações Arlington Alves ","Rua Barão de Surui, 1345",,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/ea04b1d4f45d7c9bff5308c6883a38f0.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/a9b87b1e3832ccbd9f43fef7742dc577.jpg,-3.048282,-59.985924,Manaus,2500000,,Viva Real,,7/2/6/9/3/8/4,Vendo terreno na avenida das torres,Vendo terreno na Avenida das Torres com 1600m2 - 80 metros de frente por 20 metros de fundo,AM,http://www.vivareal.com.br/imovel/lote-terreno-flores-bairros-manaus-1600m2-venda-RS2500000-id-2461151280/,"https://www.google.com/maps/search/?api=1&query=-3.048282,-59.985924",
,RE/MAX DOZE,,200,,Betânia,,,,2466973933,,2020-03-26," Encontrar terrenos bem localizados para comércio em Manaus está cada dia mais difícil. Aproveite essa oportunidade. Terreno à venda, 8X25, em área essencialmente comercial, na Rua Adalberto Vale, Betania, próximo ao Baratão da Carne, postos de gasolina, e outros comércios. Documentado, aceita financiamento. - ",Rua Adalberto Vale,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/c0306d425e3311918c7a0bdddee8695a.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/de69fc0cd0a99570aad2b42f10161731.jpg,-3.133672,-59.995286,Manaus,300000,,Viva Real,,2/9/3/0/8/4/1,Terreno,"Terreno à venda, 200 m² por R$ 300.000,00 - Betânia - Manaus/AM",AM,http://www.vivareal.com.br/imovel/lote-terreno-betania-bairros-manaus-200m2-venda-RS300000-id-2466973933/,"https://www.google.com/maps/search/?api=1&query=-3.133672,-59.995286",
,Acão Imobiliaria,,200,,Tarumã,,,,2476895775,,2020-03-26," O Residencial Villa Suíça trás a você uma nova forma de urbanização, Um lugar onde você terá liberdade para construir sua casa da forma que você sempre sonhou. Venha comprar seu lote e construir sua casa. Loteamento com toda estrutura. Local tranquilo e seguro Segurança 24 horas Lote medindo 200 m² ( 8 x 25 m ) Valor: R$ 56,000,00 a vista Agende sua visita! Informações: Ana Grayce Carvalho ( 9 2 ) 9 8 4 2 2 - 0 5 8 2 ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/fe525c4165b06872d0a4fdbb9eca6c5f.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/15957ce6aa00f4c4b7b4403debb903be.jpg,-3.021623,-60.057572,Manaus,56000,1,Viva Real,,7/2/9/5/3/4/1,Venda ,Vendo lote no Residencial Villa suíça,AM,http://www.vivareal.com.br/imovel/lote-terreno-1-quartos-taruma-bairros-manaus-200m2-venda-RS56000-id-2476895775/,"https://www.google.com/maps/search/?api=1&query=-3.021623,-60.057572",
,Acão Imobiliaria,,100,,Tarumã-Açu,,,,2443299491,,2020-03-26," Vendo 2 lotes de 100 m² cada um, próximo ao Residencial Vertentes do Tarumã. Valor de cada lote R$ 120.000,00 Aberto a proposta. Informações: Ana Nilce Mendes 9 2 9 8 4 4 8 - 4 8 0 2 ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/4c8ab5d9eb7b959d5000fe4bc888e8d4.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/07ef0484140dd8b69553c4e4b431cfd3.jpg,-2.986006,-60.078748,Manaus,120000,,Viva Real,,7/2/9/5/3/4/1,Venda ,Vendo Lote - Tarumã,AM,http://www.vivareal.com.br/imovel/lote-terreno-taruma-acu-bairros-manaus-100m2-venda-RS120000-id-2443299491/,"https://www.google.com/maps/search/?api=1&query=-2.986006,-60.078748",
,ALEXANDRE AUGUSTO MENDONÇA IMOVEIS,,145,,Mauazinho,,,,2460269393,,2020-03-26, terreno com 145.000 m2 - 44.000 m2 de terraplanagem já executada - valor de avaliação 12 milhões - valor de venda 7 milhões - terreno todo cercado - documentação com Registro de Imóveis - pronto para construir ,,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e0a7ac4755586537984dd2ee9410dd6b.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/a397a4a7e639cb2a9552b61137a68160.jpg,-3.122515,-59.939254,Manaus,7000000,,Viva Real,,7/2/9/3/0/8/1,Venda ,Terreno Industrial no Distrito Industrial Próximo a Samsung,AM,http://www.vivareal.com.br/imovel/lote-terreno-mauazinho-bairros-manaus-145m2-venda-RS7000000-id-2460269393/,"https://www.google.com/maps/search/?api=1&query=-3.122515,-59.939254",
,Acão Imobiliaria,,383,,Ponta Negra,,,,2473802594,,2020-03-26," Vendo Lote Condomínio Reserva do Parque 383m² Terreno limpo e plano Na Rua da Área de Lazer Condomínio: R$ 177,00 (até o dia do vencimento). Valor venda: R$ 95 mil Aceita Financiamento Bancário Mais Informações: 9 2 – 9 8 1 0 1 - 3 5 5 3 ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/6442a335196395c461a85e443b8fd6d4.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/24cc3486eb83b606474c3cfa883e4ca0.jpg,-3.051423,-60.078308,Manaus,95000,,Viva Real,,7/2/9/5/3/4/1,Venda ,Vendo Lote Condomínio Reserva do Parque,AM,http://www.vivareal.com.br/imovel/lote-terreno-ponta-negra-bairros-manaus-383m2-venda-RS95000-id-2473802594/,"https://www.google.com/maps/search/?api=1&query=-3.051423,-60.078308",
,GAVEA ADMINISTRADORA DE IMOVEIS - MANAUS,,1800,,Parque 10 de Novembro,,,,2479232599,,2020-03-26," Oportunidade imperdível de terreno para vender com ótima localização no melhor do bairro Parque 10 de Novembro! terreno de 1800m2 localizado no parque dez praticamente na avenida das torres.Terreno documentadoValor: 850.000,00 - Área total: 1.800,00m² 26/03 ",,,https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/ebd3692215817a889f8c1d50b840a36c.jpg; https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/1eb6de2353fd030dc55f986dcc884a73.jpg,-3.077074,-59.995015,Manaus,850000,,Viva Real,,2/5/9/0/4,Venda ,MANAUS - Terreno Padrão - PQ 10 DE NOVEMBRO,AM,http://www.vivareal.com.br/imovel/lote-terreno-parque-dez-de-novembro-bairros-manaus-1800m2-venda-RS850000-id-2479232599/,"https://www.google.com/maps/search/?api=1&query=-3.077074,-59.995015",
